s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_GEOM,Q_ENTH,Q_TOTAL,MLR_FUEL,MLR_TOTAL
 2.3058403E+001, 6.0022760E+001,-1.3175691E+001, 6.1336509E-001,-1.0943940E+001, 1.2941639E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.6480402E+001, 3.6529435E+001, 3.3346303E-003, 3.3346303E-003
 2.3164814E+001, 5.9893658E+001,-1.2987136E+001, 6.1367230E-001,-1.0980612E+001, 1.2937968E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.6538063E+001, 3.6552519E+001, 3.3346303E-003, 3.3346303E-003
 2.3324429E+001, 5.9706559E+001,-1.3101819E+001, 6.0791906E-001,-1.1013260E+001, 1.2933361E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.6381909E+001, 3.6212333E+001, 3.3346303E-003, 3.3346303E-003
 2.3430840E+001, 5.9535946E+001,-1.3512097E+001, 5.9767243E-001,-1.1028003E+001, 1.2928608E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.5783712E+001, 3.5606448E+001, 3.3346303E-003, 3.3346303E-003
 2.3537251E+001, 5.9453517E+001,-1.3525065E+001, 5.9570757E-001,-1.1042394E+001, 1.2924727E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.5530780E+001, 3.5494690E+001, 3.3346303E-003, 3.3346303E-003
 2.3643660E+001, 5.9455419E+001,-1.3622221E+001, 5.9347109E-001,-1.1068670E+001, 1.2921098E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.5358495E+001, 3.5370920E+001, 3.3346303E-003, 3.3346303E-003
 2.3803276E+001, 5.9652552E+001,-1.3709080E+001, 5.9433366E-001,-1.1118667E+001, 1.2917466E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.5408660E+001, 3.5432057E+001, 3.3346303E-003, 3.3346303E-003
 2.3909685E+001, 5.9847558E+001,-1.3961815E+001, 5.9245268E-001,-1.1174799E+001, 1.2915348E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.5330506E+001, 3.5316312E+001, 3.3346303E-003, 3.3346303E-003
 2.4016096E+001, 6.0061539E+001,-1.4054466E+001, 5.9371297E-001,-1.1219454E+001, 1.2914786E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.5313898E+001, 3.5394246E+001, 3.3346303E-003, 3.3346303E-003
 2.4122505E+001, 6.0283784E+001,-1.4195546E+001, 5.9445728E-001,-1.1258597E+001, 1.2915253E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.5396737E+001, 3.5437014E+001, 3.3346303E-003, 3.3346303E-003
 2.4282122E+001, 6.0464877E+001,-1.4284736E+001, 5.9558524E-001,-1.1296817E+001, 1.2917302E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.5454859E+001, 3.5491828E+001, 3.3346303E-003, 3.3346303E-003
 2.4388531E+001, 6.0493478E+001,-1.4155324E+001, 5.9801281E-001,-1.1323473E+001, 1.2920185E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.5530080E+001, 3.5625613E+001, 3.3346303E-003, 3.3346303E-003
 2.4494942E+001, 6.0410133E+001,-1.3952993E+001, 5.9993828E-001,-1.1336554E+001, 1.2922802E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.5677271E+001, 3.5733447E+001, 3.3346303E-003, 3.3346303E-003
 2.4601353E+001, 6.0348438E+001,-1.3862819E+001, 6.0037968E-001,-1.1341597E+001, 1.2925459E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.5701855E+001, 3.5757327E+001, 3.3346303E-003, 3.3346303E-003
 2.4760967E+001, 6.0150822E+001,-1.3735946E+001, 5.9929175E-001,-1.1336963E+001, 1.2928453E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.5786931E+001, 3.5690134E+001, 3.3346303E-003, 3.3346303E-003
 2.4867378E+001, 5.9757433E+001,-1.3966898E+001, 5.8890356E-001,-1.1326493E+001, 1.2930541E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.5256308E+001, 3.5065876E+001, 3.3346303E-003, 3.3346303E-003
 2.4973787E+001, 5.9434766E+001,-1.4026158E+001, 5.8245776E-001,-1.1319762E+001, 1.2930964E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.4849611E+001, 3.4684235E+001, 3.3346303E-003, 3.3346303E-003
 2.5080198E+001, 5.9315154E+001,-1.3990545E+001, 5.8090468E-001,-1.1320551E+001, 1.2930251E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.4579519E+001, 3.4597893E+001, 3.3346303E-003, 3.3346303E-003
 2.5239813E+001, 5.9517137E+001,-1.3830940E+001, 5.8644338E-001,-1.1342515E+001, 1.2928592E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.4787166E+001, 3.4943055E+001, 3.3346303E-003, 3.3346303E-003
 2.5346224E+001, 5.9805773E+001,-1.4152485E+001, 5.8499792E-001,-1.1380015E+001, 1.2927943E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.4934203E+001, 3.4871199E+001, 3.3346303E-003, 3.3346303E-003
 2.5452633E+001, 6.0224732E+001,-1.4448881E+001, 5.8633094E-001,-1.1413533E+001, 1.2929245E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.4825516E+001, 3.4961578E+001, 3.3346303E-003, 3.3346303E-003
 2.5612249E+001, 6.0699229E+001,-1.4792536E+001, 5.8802777E-001,-1.1446100E+001, 1.2932358E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.5063939E+001, 3.5061553E+001, 3.3346303E-003, 3.3346303E-003
 2.5718658E+001, 6.0563080E+001,-1.4826847E+001, 5.8509216E-001,-1.1469819E+001, 1.2936213E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.4918128E+001, 3.4864441E+001, 3.3346303E-003, 3.3346303E-003
